"order_id"	"customer_id"	"status"	"salesman_id"	"order_date"
"1"	"4"	"Pending"	"56"	"2015/17/10"
"2"	"4"	"Shipped"		"2026/15/2"
"3"	"5"	"Shipped"		"2026/17/2"
"4"	"8"	"Shipped"	"59"	"2009/15/2"
"5"	"5"	"Canceled"	"56"	"2009/17/2"
"6"	"6"	"Shipped"		"2009/15/2"
"7"	"7"	"Shipped"		"2015/17/2"
"8"	"8"	"Shipped"		"2014/17/2"
"9"	"9"	"Shipped"		"2014/17/2"
"10"	"44"	"Pending"		"2024/17/9"
"11"	"45"	"Shipped"		"2029/16/11"
"12"	"46"	"Shipped"		"2029/16/11"
"13"	"47"	"Shipped"		"2029/16/11"
"14"	"48"	"Shipped"		"2028/17/9"
"15"	"49"	"Shipped"		"2027/17/9"
"16"	"16"	"Pending"		"2027/16/9"
"17"	"17"	"Shipped"		"2027/17/9"
"18"	"18"	"Shipped"		"2016/16/9"
"19"	"19"	"Shipped"		"2027/16/5"
"20"	"20"	"Shipped"		"2027/17/5"
"21"	"21"	"Pending"		"2027/17/5"
"22"	"22"	"Canceled"		"2026/16/5"
"23"	"23"	"Shipped"		"2007/16/9"
"24"	"41"	"Shipped"		"2007/16/9"
"25"	"42"	"Shipped"		"2024/16/9"
"26"	"46"	"Shipped"	"62"	"2016/16/9"
"27"	"43"	"Canceled"		"2016/16/9"
"28"	"6"	"Canceled"	"57"	"2015/17/9"
"29"	"44"	"Shipped"		"2014/17/9"
"30"	"45"	"Shipped"		"2012/17/9"
"31"	"46"	"Canceled"		"2012/17/9"
"32"	"47"	"Shipped"		"2009/17/3"
"33"	"48"	"Shipped"		"2007/17/3"
"34"	"49"	"Shipped"		"2012/16/6"
"35"	"50"	"Shipped"		"2005/16/9"
"36"	"51"	"Shipped"		"2005/17/9"
"37"	"52"	"Shipped"		"2019/17/2"
"38"	"53"	"Canceled"	"57"	"2031/15/5"
"39"	"54"	"Shipped"	"62"	"2022/16/10"
"40"	"55"	"Shipped"	"62"	"2011/17/5"
"41"	"9"	"Shipped"	"59"	"2011/17/5"
"42"	"56"	"Canceled"	"64"	"2003/15/5"
"43"	"47"	"Shipped"	"62"	"2002/15/5"
"44"	"2"	"Pending"	"55"	"2020/17/2"
"45"	"57"	"Shipped"	"64"	"2020/17/2"
"46"	"58"	"Pending"	"62"	"2020/17/2"
"47"	"59"	"Canceled"	"62"	"2010/16/10"
"48"	"60"	"Canceled"	"64"	"2010/16/10"
"49"	"61"	"Shipped"	"55"	"2002/16/10"
"50"	"62"	"Pending"	"55"	"2002/16/10"
"51"	"63"	"Shipped"	"59"	"2002/16/10"
"52"	"64"	"Shipped"	"60"	"2002/16/10"
"53"	"48"	"Shipped"	"62"	"2029/16/9"
"54"	"65"	"Shipped"	"56"	"2029/16/9"
"55"	"66"	"Pending"	"59"	"2029/16/9"
"56"	"67"	"Canceled"	"55"	"2029/16/9"
"57"	"68"	"Shipped"	"57"	"2024/17/9"
"58"	"69"	"Shipped"	"57"	"2024/16/9"
"59"	"70"	"Shipped"	"59"	"2029/15/6"
"60"	"1"	"Shipped"	"62"	"2030/17/6"
"61"	"2"	"Shipped"	"54"	"2030/16/6"
"62"	"3"	"Shipped"	"62"	"2030/15/6"
"63"	"4"	"Shipped"	"61"	"2030/16/6"
"64"	"5"	"Shipped"	"64"	"2021/16/6"
"65"	"6"	"Shipped"	"64"	"2021/13/6"
"66"	"7"	"Canceled"	"61"	"2021/16/6"
"67"	"8"	"Canceled"	"61"	"2014/16/6"
"68"	"9"	"Pending"		"2013/16/6"
"69"	"44"	"Canceled"	"54"	"2017/17/3"
"70"	"45"	"Canceled"	"61"	"2021/17/2"
"71"	"46"	"Shipped"	"54"	"2021/17/2"
"72"	"47"	"Shipped"	"64"	"2017/16/2"
"73"	"48"	"Shipped"		"2017/16/2"
"74"	"49"	"Shipped"	"64"	"2010/17/2"
"75"	"16"	"Shipped"		"2010/17/2"
"76"	"17"	"Shipped"	"55"	"2010/17/2"
"77"	"1"	"Shipped"	"60"	"2002/17/9"
